res_constrained	res_constrained_updatefactor_1	res_unconstrained	res_unconstrained_abs	res_unconstrained_abs_beta_0.5	res_unconstrained_abs_beta_0.5_updatefactor_1	res_unconstrained_beta_0.5	res_unconstrained_beta_0.5_updatefactor_1	res_unconstrained_new	res_unconstrained_new_SLSQP	res_unconstrained_new_updatefactor_1	
p_hat500-1.clq.cnf	237	237	77	92	99	99	78	78	99999	99999	99999	
brock800_2.clq.cnf	513	513	237	513	513	513	239	239	99999	99999	99999	
brock200_1.clq.cnf	566	566	270	566	566	566	265	267	99999	99999	99999	
brock400_3.clq.cnf	568	568	255	568	568	568	253	281	99999	99999	99999	
brock800_3.clq.cnf	507	507	255	507	507	507	218	240	99999	99999	99999	
brock400_4.clq.cnf	589	589	262	285	589	589	359	382	99999	99999	99999	
s2v220c1500-3.cnf	750	750	750	750	750	750	750	750	99999	99999	99999	
s2v220c1300-3.cnf	650	650	650	650	650	650	650	650	99999	99999	99999	
s2v220c1900-2.cnf	950	950	950	950	950	950	950	950	99999	99999	99999	
s2v220c2300-1.cnf	1150	1150	1150	1150	1150	1150	1150	1150	99999	99999	99999	
s2v220c2100-3.cnf	1050	1050	1050	1050	1050	1050	1050	1050	99999	99999	99999	
s2v220c2500-1.cnf	1250	1250	1250	1250	1250	1250	1250	1250	99999	99999	99999	
s2v220c2400-3.cnf	1200	1200	1200	1200	1200	1200	1200	1200	99999	99999	99999	
s2v220c2300-3.cnf	1150	1150	1150	1150	1150	1150	1150	1150	99999	99999	99999	
s2v220c1500-2.cnf	750	750	750	750	750	750	750	750	99999	99999	99999	
s2v220c2200-1.cnf	1100	1100	1100	1100	1100	1100	1100	1100	99999	99999	99999	
s2v220c2500-3.cnf	1250	1250	1250	1250	1250	1250	1250	1250	99999	99999	99999	
s2v220c1400-1.cnf	700	700	700	700	700	700	700	700	99999	99999	99999	
s2v220c1200-2.cnf	600	600	600	600	600	600	600	600	99999	99999	99999	
s2v220c1300-2.cnf	650	650	650	650	650	650	650	650	99999	99999	99999	
s2v220c1900-3.cnf	950	950	950	950	950	950	950	950	99999	99999	99999	
s2v220c1700-3.cnf	850	850	850	850	850	850	850	850	99999	99999	99999	
s2v220c1600-2.cnf	800	800	800	800	800	800	800	800	99999	99999	99999	
s2v220c2000-3.cnf	1000	1000	1000	1000	1000	1000	1000	1000	99999	99999	99999	
s2v220c2600-3.cnf	1300	1300	1300	1300	1300	1300	1300	1300	99999	99999	99999	
s2v220c1900-1.cnf	950	950	950	950	950	950	950	950	99999	99999	99999	
s2v220c1600-1.cnf	800	800	800	800	800	800	800	800	99999	99999	99999	
s2v220c1800-2.cnf	900	900	900	900	900	900	900	900	99999	99999	99999	
s2v220c2100-1.cnf	1050	1050	1050	1050	1050	1050	1050	1050	99999	99999	99999	
s2v220c2300-2.cnf	1150	1150	1150	1150	1150	1150	1150	1150	99999	99999	99999	
s2v220c1600-3.cnf	800	800	800	800	800	800	800	800	99999	99999	99999	
s2v220c1400-3.cnf	700	700	700	700	700	700	700	700	99999	99999	99999	
s2v220c1500-1.cnf	750	750	750	750	750	750	750	750	99999	99999	99999	
s2v220c1800-3.cnf	900	900	900	900	900	900	900	900	99999	99999	99999	
s2v220c2400-2.cnf	1200	1200	1200	1200	1200	1200	1200	1200	99999	99999	99999	
s2v220c1400-2.cnf	700	700	700	700	700	700	700	700	99999	99999	99999	
s2v220c1700-2.cnf	850	850	850	850	850	850	850	850	99999	99999	99999	
s2v220c2500-2.cnf	1250	1250	1250	1250	1250	1250	1250	1250	99999	99999	99999	
s2v220c2000-1.cnf	1000	1000	1000	1000	1000	1000	1000	1000	99999	99999	99999	
s2v220c2200-3.cnf	1100	1100	1100	1100	1100	1100	1100	1100	99999	99999	99999	
s2v220c1200-3.cnf	600	600	600	600	600	600	600	600	99999	99999	99999	
s2v220c2000-2.cnf	1000	1000	1000	1000	1000	1000	1000	1000	99999	99999	99999	
s2v220c1800-1.cnf	900	900	900	900	900	900	900	900	99999	99999	99999	
s2v220c2100-2.cnf	1050	1050	1050	1050	1050	1050	1050	1050	99999	99999	99999	
s2v220c2400-1.cnf	1200	1200	1200	1200	1200	1200	1200	1200	99999	99999	99999	
s2v220c1700-1.cnf	850	850	850	850	850	850	850	850	99999	99999	99999	
s2v220c2600-2.cnf	1300	1300	1300	1300	1300	1300	1300	1300	99999	99999	99999	
s2v220c2600-1.cnf	1300	1300	1300	1300	1300	1300	1300	1300	99999	99999	99999	
s2v220c1300-1.cnf	650	650	650	650	650	650	650	650	99999	99999	99999	
s2v220c2200-2.cnf	1100	1100	1100	1100	1100	1100	1100	1100	99999	99999	99999	
s2v180c1200-2.cnf	600	600	600	600	600	600	600	600	99999	99999	99999	
s2v180c2500-2.cnf	1250	1250	1250	1250	1250	1250	1250	1250	99999	99999	99999	
s2v180c1500-2.cnf	750	750	750	750	750	750	750	750	99999	99999	99999	
s2v180c2000-2.cnf	1000	1000	1000	1000	1000	1000	1000	1000	99999	99999	99999	
s2v180c2000-1.cnf	1000	1000	1000	1000	1000	1000	1000	1000	99999	99999	99999	
s2v180c2300-2.cnf	1150	1150	1150	1150	1150	1150	1150	1150	99999	99999	99999	
s2v180c2600-2.cnf	1300	1300	1300	1300	1300	1300	1300	1300	99999	99999	99999	
s2v180c1800-2.cnf	900	900	900	900	900	900	900	900	99999	99999	99999	
s2v180c2300-3.cnf	1150	1150	1150	1150	1150	1150	1150	1150	99999	99999	99999	
s2v180c1300-3.cnf	650	650	650	650	650	650	650	650	99999	99999	99999	
